iter	RMSE
0	659.0526236
1	659.0278901
2	659.0200614
3	659.0006084
4	658.9872621
5	658.9762423
6	658.9524139
7	658.9406913
8	658.9326514
9	658.9154675
10	658.8956659
11	658.8867089
12	658.8822686
13	658.8675452
14	658.8584006
15	658.8481511
16	658.8357002
17	658.8284001
18	658.8173816
19	658.8085333
20	658.7890788
21	658.7809487
22	658.7720543
23	658.767011
24	658.7538691
25	658.7406727
26	658.7149261
27	658.6985852
28	658.6936338
29	658.6892278
30	658.677691
31	658.6670411
32	658.6608317
33	658.653359
34	658.6495867
35	658.6403958
36	658.6358006
37	658.6245069
38	658.6193342
39	658.6166488
40	658.6120968
41	658.6034064
42	658.5946966
43	658.5853172
44	658.5754158
45	658.5650734
46	658.5574542
47	658.5446799
48	658.5415866
49	658.5287627
50	658.5156366
51	658.5103124
52	658.5039117
53	658.4990529
54	658.4866228
55	658.4828259
56	658.4697053
57	658.4594212
58	658.4490433
59	658.4334491
60	658.4290376
61	658.4189973
62	658.4108005
63	658.4031732
64	658.392921
65	658.3910819
66	658.3853727
67	658.3810927
68	658.3694394
69	658.359628
70	658.357349
71	658.3409316
72	658.3327054
73	658.3245442
74	658.309253
75	658.3064948
76	658.2949531
77	658.282559
78	658.2717296
79	658.2693054
80	658.2633271
81	658.2572919
82	658.2561029
83	658.2533837
84	658.2414672
85	658.2401991
86	658.2367328
87	658.2305262
88	658.2285344
89	658.2250496
90	658.2197613
91	658.2053234
92	658.2042138
93	658.1946678
94	658.191313
95	658.1900643
96	658.1811326
97	658.1753882
98	658.1729332
99	658.1717554
100	658.1693718
101	658.1626316
102	658.1545432
103	658.1322822
104	658.1257025
105	658.120221
106	658.1128193
107	658.1088587
108	658.1031295
109	658.0989774
110	658.0947537
111	658.0902348
112	658.0830093
113	658.0797414
114	658.0715529
115	658.0676368
116	658.0630583
117	658.0537575
118	658.0490208
119	658.0319829
120	658.0242426
121	658.0115632
122	658.0071464
123	658.0013851
124	657.9941954
125	657.991033
126	657.9860508
127	657.9792724
128	657.9707147
129	657.9692522
130	657.9594993
131	657.9529688
132	657.9449348
133	657.9430619
134	657.9419176
135	657.9342147
136	657.9326443
137	657.9281865
138	657.9178558
139	657.9142347
140	657.9129634
141	657.9074794
142	657.9001596
143	657.8954373
144	657.8871126
145	657.8732284
146	657.866555
147	657.854833
148	657.8512284
149	657.8485333
150	657.8481024
151	657.8381691
152	657.8344392
153	657.8268215
154	657.8151398
155	657.8042193
156	657.7957885
157	657.7887111
158	657.7854957
159	657.7746334
160	657.7656009
161	657.7569715
162	657.7390462
163	657.7346353
164	657.7239076
165	657.7087447
166	657.6906294
167	657.6846788
168	657.6788859
169	657.6647183
170	657.6612836
171	657.6538072
172	657.6486896
173	657.6398613
174	657.625879
175	657.6176791
176	657.6097918
177	657.5935558
178	657.5865743
179	657.5789207
180	657.5689907
181	657.546218
182	657.5283316
183	657.519357
184	657.5123376
185	657.5078938
186	657.4987402
187	657.4915048
188	657.4811127
189	657.4675877
190	657.4528334
191	657.4477875
192	657.4361001
193	657.4306895
194	657.4145428
195	657.406918
196	657.3831688
197	657.3703316
198	657.3599773
199	657.3540661
200	657.3392518
201	657.3279648
202	657.3126169
203	657.3070049
204	657.2842591
