iter	Passed	Remaining
0	153	153625
1	161	80469
2	166	55178
3	170	42548
4	176	35086
5	181	30062
6	186	26400
7	190	23642
8	194	21441
9	198	19661
10	202	18194
11	206	16995
12	209	15928
13	213	15061
14	218	14326
15	222	13661
16	226	13112
17	231	12606
18	235	12142
19	240	11784
20	244	11398
21	248	11043
22	252	10742
23	256	10440
24	260	10160
25	263	9883
26	267	9637
27	270	9398
28	274	9181
29	277	8988
30	281	8806
31	285	8623
32	288	8453
33	291	8291
34	295	8141
35	298	8001
36	302	7867
37	305	7739
38	309	7637
39	313	7533
40	317	7433
41	321	7325
42	324	7223
43	327	7125
44	331	7031
45	335	6957
46	339	6883
47	343	6809
48	346	6721
49	349	6646
50	353	6576
51	356	6506
52	360	6439
53	363	6373
54	368	6324
55	372	6279
56	376	6229
57	380	6172
58	383	6114
59	387	6066
60	390	6016
61	394	5966
62	398	5923
63	401	5879
64	405	5839
65	409	5791
66	412	5745
67	415	5699
68	419	5661
69	423	5624
70	427	5593
71	431	5567
72	435	5530
73	438	5491
74	442	5455
75	445	5420
76	449	5383
77	452	5346
78	456	5319
79	460	5291
80	463	5260
81	466	5227
82	470	5199
83	474	5170
84	477	5141
85	481	5114
86	484	5089
87	488	5066
88	492	5037
89	495	5009
90	498	4982
91	502	4955
92	505	4930
93	508	4903
94	511	4877
95	515	4856
96	519	4838
97	524	4823
98	527	4801
99	531	4780
100	534	4761
101	538	4741
102	542	4725
103	546	4708
104	550	4688
105	554	4672
106	557	4655
107	561	4635
108	564	4615
109	568	4601
110	572	4588
111	576	4573
112	580	4555
113	583	4534
114	586	4515
115	590	4502
116	594	4489
117	598	4476
118	602	4459
119	606	4446
120	610	4431
121	613	4413
122	616	4398
123	620	4380
124	623	4363
125	626	4347
126	629	4330
127	634	4324
128	638	4314
129	642	4300
130	645	4284
131	649	4270
132	652	4256
133	656	4240
134	658	4222
135	663	4212
136	667	4201
137	670	4187
138	673	4173
139	677	4161
140	681	4150
141	684	4136
142	687	4122
143	691	4109
144	695	4099
145	699	4091
146	703	4079
147	706	4066
148	709	4053
149	713	4043
150	716	4026
151	719	4014
152	723	4005
153	727	3998
154	731	3987
155	734	3975
156	738	3963
157	741	3951
158	744	3939
159	748	3927
160	752	3923
161	757	3917
162	761	3908
163	764	3898
164	769	3892
165	772	3882
166	776	3871
167	779	3859
168	783	3854
169	787	3846
170	791	3837
171	795	3828
172	798	3819
173	802	3810
174	806	3801
175	809	3791
176	814	3786
177	818	3779
178	821	3768
179	824	3757
180	828	3747
181	832	3740
182	835	3731
183	840	3726
184	844	3722
185	848	3712
186	851	3703
187	855	3693
188	858	3685
189	862	3677
190	866	3668
191	870	3661
192	874	3656
193	878	3647
194	882	3642
195	887	3640
196	891	3634
197	895	3628
198	900	3625
199	905	3621
200	909	3615
201	913	3608
202	917	3603
203	921	3596
204	925	3590
205	931	3590
206	935	3584
207	939	3578
208	943	3571
209	947	3565
210	951	3559
211	956	3553
212	961	3552
213	965	3545
214	969	3538
215	973	3532
216	977	3526
217	981	3520
218	985	3513
219	989	3509
220	997	3514
221	1002	3512
222	1007	3511
223	1013	3511
224	1026	3534
225	1032	3535
226	1037	3531
227	1041	3526
228	1047	3525
229	1064	3562
230	1073	3573
231	1080	3577
232	1085	3573
233	1089	3566
234	1094	3561
235	1099	3558
236	1104	3554
237	1110	3555
238	1115	3551
239	1120	3546
240	1125	3545
241	1130	3539
242	1134	3533
243	1140	3532
244	1144	3526
245	1148	3519
246	1152	3514
247	1157	3511
248	1162	3507
249	1166	3499
250	1171	3496
251	1176	3492
252	1181	3487
253	1185	3481
254	1190	3478
255	1195	3473
256	1201	3473
257	1206	3468
258	1210	3464
259	1215	3458
260	1219	3453
261	1224	3447
262	1229	3444
263	1234	3441
264	1239	3436
265	1243	3431
266	1247	3425
267	1251	3418
268	1255	3413
269	1261	3409
270	1265	3403
271	1269	3397
272	1273	3391
273	1277	3383
274	1280	3376
275	1283	3368
276	1287	3361
277	1291	3353
278	1294	3345
279	1297	3336
280	1300	3328
281	1304	3321
282	1307	3313
283	1311	3305
284	1315	3299
285	1319	3293
286	1322	3286
287	1326	3278
288	1329	3270
289	1332	3263
290	1336	3256
291	1339	3247
292	1342	3239
293	1346	3232
294	1349	3225
295	1353	3218
296	1356	3210
297	1359	3203
298	1363	3196
299	1366	3189
300	1370	3181
301	1373	3173
302	1376	3167
303	1380	3160
304	1383	3152
305	1386	3144
306	1389	3137
307	1394	3132
308	1397	3126
309	1401	3118
310	1404	3111
311	1408	3106
312	1412	3100
313	1415	3093
314	1419	3085
315	1422	3078
316	1425	3071
317	1429	3065
318	1432	3057
319	1435	3051
320	1439	3045
321	1443	3039
322	1446	3032
323	1449	3024
324	1453	3017
325	1456	3011
326	1460	3005
327	1463	2998
328	1467	2992
329	1470	2985
330	1473	2979
331	1477	2972
332	1480	2965
333	1484	2960
334	1488	2954
335	1492	2949
336	1496	2944
337	1500	2938
338	1503	2931
339	1506	2925
340	1510	2918
341	1513	2912
342	1517	2906
343	1520	2900
344	1524	2894
345	1528	2889
346	1531	2882
347	1535	2876
348	1538	2869
349	1541	2863
350	1545	2856
351	1548	2850
352	1551	2843
353	1555	2838
354	1559	2833
355	1563	2827
356	1566	2821
357	1569	2814
358	1572	2808
359	1576	2802
360	1579	2796
361	1583	2791
362	1587	2786
363	1591	2780
364	1594	2774
365	1597	2767
366	1601	2761
367	1604	2755
368	1607	2749
369	1611	2743
370	1614	2737
371	1618	2732
372	1621	2726
373	1625	2720
374	1628	2714
375	1632	2708
376	1635	2702
377	1638	2696
378	1641	2690
379	1645	2685
380	1649	2679
381	1652	2673
382	1655	2667
383	1659	2661
384	1662	2655
385	1665	2649
386	1669	2643
387	1672	2638
388	1676	2632
389	1679	2627
390	1683	2621
391	1686	2615
392	1689	2609
393	1692	2603
394	1696	2598
395	1699	2592
396	1702	2586
397	1706	2581
398	1709	2575
399	1713	2569
400	1716	2563
401	1719	2558
402	1722	2552
403	1726	2546
404	1729	2540
405	1732	2535
406	1736	2530
407	1740	2524
408	1743	2518
409	1746	2513
410	1750	2508
411	1754	2503
412	1757	2497
413	1760	2492
414	1764	2487
415	1768	2482
416	1772	2478
417	1776	2473
418	1780	2468
419	1783	2462
420	1786	2457
421	1790	2451
422	1793	2446
423	1797	2442
424	1801	2437
425	1805	2432
426	1808	2426
427	1811	2421
428	1815	2415
429	1818	2410
430	1821	2405
431	1825	2400
432	1829	2396
433	1833	2390
434	1836	2385
435	1839	2379
436	1843	2374
437	1846	2369
438	1849	2364
439	1853	2359
440	1857	2354
441	1861	2349
442	1864	2344
443	1867	2339
444	1871	2333
445	1874	2328
446	1877	2322
447	1881	2317
448	1884	2313
449	1888	2308
450	1891	2302
451	1895	2297
452	1898	2292
453	1901	2286
454	1905	2282
455	1908	2277
456	1912	2272
457	1916	2267
458	1919	2262
459	1923	2257
460	1926	2252
461	1930	2247
462	1933	2243
463	1937	2238
464	1940	2233
465	1945	2229
466	1948	2224
467	1952	2219
468	1956	2214
469	1959	2210
470	1963	2205
471	1967	2201
472	1971	2196
473	1974	2191
474	1978	2186
475	1982	2182
476	1985	2176
477	1988	2171
478	1992	2166
479	1995	2161
480	1998	2156
481	2002	2152
482	2006	2147
483	2009	2142
484	2012	2137
485	2015	2131
486	2019	2127
487	2022	2122
488	2026	2117
489	2029	2112
490	2032	2107
491	2036	2102
492	2039	2097
493	2043	2093
494	2047	2088
495	2051	2084
496	2054	2079
497	2057	2074
498	2060	2069
499	2064	2064
500	2067	2059
501	2070	2054
502	2074	2049
503	2077	2044
504	2081	2039
505	2084	2034
506	2087	2029
507	2090	2024
508	2094	2020
509	2098	2016
510	2101	2011
511	2104	2006
512	2108	2001
513	2111	1996
514	2114	1991
515	2118	1986
516	2121	1981
517	2125	1977
518	2128	1972
519	2131	1967
520	2134	1962
521	2138	1958
522	2141	1953
523	2145	1948
524	2148	1943
525	2152	1939
526	2156	1935
527	2160	1931
528	2163	1926
529	2167	1921
530	2170	1916
531	2173	1912
532	2177	1907
533	2180	1902
534	2184	1898
535	2188	1894
536	2191	1889
537	2194	1884
538	2198	1879
539	2201	1875
540	2204	1870
541	2207	1865
542	2211	1861
543	2214	1856
544	2218	1852
545	2221	1847
546	2224	1842
547	2228	1838
548	2231	1833
549	2235	1828
550	2238	1823
551	2242	1819
552	2245	1814
553	2248	1810
554	2251	1805
555	2255	1801
556	2258	1796
557	2262	1791
558	2265	1787
559	2268	1782
560	2272	1778
561	2276	1774
562	2279	1769
563	2282	1764
564	2286	1760
565	2289	1755
566	2292	1750
567	2295	1746
568	2299	1741
569	2302	1737
570	2305	1732
571	2309	1727
572	2312	1723
573	2315	1718
574	2319	1714
575	2322	1709
576	2325	1705
577	2328	1700
578	2333	1697
579	2337	1692
580	2340	1688
581	2343	1683
582	2347	1679
583	2351	1674
584	2390	1695
585	2396	1693
586	2399	1688
587	2403	1684
588	2408	1680
589	2413	1677
590	2417	1673
591	2421	1669
592	2425	1664
593	2429	1660
594	2432	1655
595	2435	1651
596	2439	1646
597	2442	1641
598	2445	1637
599	2449	1632
600	2452	1628
601	2456	1623
602	2459	1619
603	2462	1614
604	2466	1610
605	2469	1605
606	2473	1601
607	2476	1596
608	2480	1592
609	2483	1588
610	2487	1583
611	2490	1579
612	2494	1574
613	2497	1570
614	2501	1565
615	2504	1561
616	2507	1556
617	2511	1552
618	2514	1547
619	2517	1543
620	2520	1538
621	2524	1534
622	2528	1529
623	2531	1525
624	2534	1520
625	2538	1516
626	2542	1512
627	2546	1508
628	2549	1503
629	2553	1499
630	2556	1494
631	2559	1490
632	2563	1486
633	2566	1481
634	2570	1477
635	2573	1473
636	2577	1468
637	2580	1464
638	2584	1459
639	2587	1455
640	2590	1451
641	2594	1446
642	2597	1442
643	2601	1438
644	2604	1433
645	2608	1429
646	2611	1424
647	2614	1420
648	2618	1416
649	2621	1411
650	2624	1407
651	2628	1402
652	2631	1398
653	2635	1394
654	2638	1389
655	2641	1385
656	2645	1381
657	2648	1376
658	2651	1372
659	2655	1367
660	2658	1363
661	2662	1359
662	2666	1355
663	2669	1350
664	2672	1346
665	2676	1342
666	2679	1337
667	2682	1333
668	2685	1328
669	2689	1324
670	2692	1320
671	2696	1315
672	2699	1311
673	2702	1307
674	2706	1302
675	2709	1298
676	2713	1294
677	2716	1290
678	2720	1286
679	2724	1282
680	2727	1277
681	2730	1273
682	2734	1269
683	2738	1265
684	2741	1260
685	2745	1256
686	2749	1252
687	2752	1248
688	2756	1244
689	2759	1239
690	2763	1235
691	2766	1231
692	2769	1227
693	2773	1222
694	2776	1218
695	2780	1214
696	2784	1210
697	2787	1206
698	2790	1201
699	2794	1197
700	2797	1193
701	2801	1189
702	2804	1184
703	2808	1180
704	2811	1176
705	2815	1172
706	2818	1167
707	2821	1163
708	2825	1159
709	2828	1155
710	2831	1151
711	2835	1146
712	2838	1142
713	2842	1138
714	2845	1134
715	2848	1130
716	2852	1125
717	2855	1121
718	2859	1117
719	2862	1113
720	2865	1108
721	2869	1104
722	2873	1100
723	2876	1096
724	2880	1092
725	2883	1088
726	2886	1084
727	2889	1079
728	2893	1075
729	2896	1071
730	2900	1067
731	2903	1063
732	2906	1058
733	2910	1054
734	2914	1050
735	2917	1046
736	2920	1042
737	2924	1038
738	2928	1034
739	2932	1030
740	2936	1026
741	2939	1022
742	2943	1018
743	2946	1013
744	2950	1009
745	2953	1005
746	2957	1001
747	2961	997
748	2965	993
749	2968	989
750	2972	985
751	2975	981
752	2978	977
753	2982	972
754	2985	968
755	2989	964
756	2992	960
757	2995	956
758	2998	952
759	3002	948
760	3005	943
761	3008	939
762	3012	935
763	3016	931
764	3019	927
765	3023	923
766	3026	919
767	3029	915
768	3033	911
769	3036	906
770	3039	902
771	3042	898
772	3046	894
773	3050	890
774	3053	886
775	3057	882
776	3060	878
777	3063	874
778	3066	870
779	3070	865
780	3073	861
781	3077	857
782	3080	853
783	3083	849
784	3087	845
785	3090	841
786	3093	837
787	3096	833
788	3100	829
789	3103	824
790	3108	821
791	3112	817
792	3115	813
793	3119	809
794	3123	805
795	3126	801
796	3129	797
797	3133	793
798	3137	789
799	3141	785
800	3144	781
801	3148	777
802	3151	773
803	3154	769
804	3158	765
805	3161	760
806	3165	756
807	3169	753
808	3172	749
809	3176	745
810	3179	740
811	3182	736
812	3186	732
813	3189	728
814	3192	724
815	3196	720
816	3200	716
817	3203	712
818	3206	708
819	3210	704
820	3213	700
821	3216	696
822	3219	692
823	3223	688
824	3227	684
825	3231	680
826	3234	676
827	3238	672
828	3241	668
829	3245	664
830	3248	660
831	3251	656
832	3254	652
833	3258	648
834	3261	644
835	3265	640
836	3268	636
837	3271	632
838	3274	628
839	3277	624
840	3281	620
841	3284	616
842	3287	612
843	3291	608
844	3294	604
845	3297	600
846	3301	596
847	3304	592
848	3307	588
849	3311	584
850	3314	580
851	3318	576
852	3322	572
853	3325	568
854	3328	564
855	3331	560
856	3335	556
857	3338	552
858	3341	548
859	3345	544
860	3348	540
861	3352	536
862	3356	532
863	3359	528
864	3362	524
865	3365	520
866	3369	516
867	3372	512
868	3376	508
869	3379	504
870	3382	501
871	3386	497
872	3389	493
873	3392	489
874	3396	485
875	3399	481
876	3402	477
877	3406	473
878	3410	469
879	3413	465
880	3416	461
881	3420	457
882	3423	453
883	3426	449
884	3430	445
885	3433	441
886	3437	437
887	3440	433
888	3443	429
889	3446	426
890	3450	422
891	3453	418
892	3456	414
893	3460	410
894	3463	406
895	3467	402
896	3471	398
897	3474	394
898	3477	390
899	3480	386
900	3484	382
901	3487	378
902	3491	375
903	3495	371
904	3499	367
905	3502	363
906	3505	359
907	3509	355
908	3513	351
909	3517	347
910	3520	343
911	3524	340
912	3527	336
913	3531	332
914	3534	328
915	3537	324
916	3541	320
917	3544	316
918	3547	312
919	3551	308
920	3555	304
921	3558	301
922	3561	297
923	3564	293
924	3568	289
925	3571	285
926	3574	281
927	3578	277
928	3582	273
929	3585	269
930	3589	266
931	3592	262
932	3596	258
933	3599	254
934	3602	250
935	3606	246
936	3609	242
937	3613	238
938	3616	234
939	3620	231
940	3623	227
941	3626	223
942	3630	219
943	3633	215
944	3636	211
945	3640	207
946	3644	203
947	3647	200
948	3650	196
949	3653	192
950	3657	188
951	3660	184
952	3663	180
953	3667	176
954	3670	172
955	3674	169
956	3678	165
957	3681	161
958	3684	157
959	3688	153
960	3691	149
961	3694	145
962	3698	142
963	3702	138
964	3705	134
965	3708	130
966	3712	126
967	3715	122
968	3719	118
969	3722	115
970	3726	111
971	3729	107
972	3733	103
973	3737	99
974	3740	95
975	3744	92
976	3747	88
977	3750	84
978	3754	80
979	3757	76
980	3761	72
981	3764	69
982	3768	65
983	3771	61
984	3774	57
985	3778	53
986	3782	49
987	3785	45
988	3788	42
989	3792	38
990	3795	34
991	3799	30
992	3803	26
993	3806	22
994	3810	19
995	3814	15
996	3817	11
997	3821	7
998	3825	3
999	3828	0
