,Body1 Torque Z(N.m),Time (ms),Excitation
0,-504.921053377132,0,1170.12
1,-510.192070276878,1,1170.12
2,-513.183065646343,2,1170.12
3,-510.677242018463,3,1170.12
4,-514.60946197722,4,1170.12
5,-514.917210709498,5,1170.12
6,-512.072516894951,6,1170.12
7,-515.888177157848,7,1170.12
8,-514.504400843819,8,1170.12
9,-517.158298105791,9,1170.12
10,-513.692696395198,10,1170.12
11,-516.36881037158,11,1170.12
12,-512.470604354002,12,1170.12
13,-510.911308311868,13,1170.12
14,-510.151019398179,14,1170.12
15,-509.139311173649,15,1170.12
16,-511.702821587624,16,1170.12
17,-512.206295436756,17,1170.12
18,-514.093947498818,18,1170.12
19,-511.603215590165,19,1170.12
20,-512.438989678277,20,1170.12
21,-513.061872814558,21,1170.12
22,-517.05452257095,22,1170.12
23,-514.833868276722,23,1170.12
24,-516.888065124354,24,1170.12
25,-510.098865687581,25,1170.12
26,-509.687766298376,26,1170.12
27,-509.316037648365,27,1170.12
28,-509.393862056548,28,1170.12
29,-518.650302026291,29,1170.12
30,-510.424653517535,30,1170.12
0,-156.41060821036,0,359.76
1,-157.847441434981,1,359.76
2,-158.812364619265,2,359.76
3,-158.154183107985,3,359.76
4,-160.307061839145,4,359.76
5,-160.007080403572,5,359.76
6,-158.414771388626,6,359.76
7,-160.179695901468,7,359.76
8,-159.60930334776,8,359.76
9,-160.830302905648,9,359.76
10,-158.048252761601,10,359.76
11,-160.394123134584,11,359.76
12,-158.016835796907,12,359.76
13,-158.707134633705,13,359.76
14,-157.86812669794,14,359.76
15,-157.715061327602,15,359.76
16,-158.12082922838,16,359.76
17,-158.155677435388,17,359.76
18,-159.425370840757,18,359.76
19,-158.481705332206,19,359.76
20,-158.533439698119,20,359.76
21,-158.419087813153,21,359.76
22,-160.786340352057,22,359.76
23,-158.865775397091,23,359.76
24,-160.762860250563,24,359.76
25,-158.018283026974,25,359.76
26,-157.86505632852,26,359.76
27,-158.343239141955,27,359.76
28,-157.377028849302,28,359.76
29,-160.582033650337,29,359.76
30,-157.413410260028,30,359.76
0,-0.675329479581839,0,3.24
1,-0.0945780760214016,1,3.24
2,-0.83812150092994,2,3.24
3,-0.890965807073421,3,3.24
4,-2.38441653134868,4,3.24
5,-1.96083064088943,5,3.24
6,-0.892847147550251,6,3.24
7,-1.99319205918423,7,3.24
8,-1.41143167667716,8,3.24
9,-2.56028206340464,9,3.24
10,0.43874346844408,10,3.24
11,-1.59426173642045,11,3.24
12,0.514726959527801,12,3.24
13,-1.3980236309931,13,3.24
14,-0.348429965845509,14,3.24
15,0.102016923511065,15,3.24
16,-0.345483604595488,16,3.24
17,0.130759491196035,17,3.24
18,-1.24016526702819,18,3.24
19,-1.20228765651114,19,3.24
20,-0.545877874219211,20,3.24
21,-0.148267514615161,21,3.24
22,-2.34716405328393,22,3.24
23,-0.290634423477477,23,3.24
24,-2.55610267690578,24,3.24
25,-0.959668333144738,25,3.24
26,-0.634765134839271,26,3.24
27,-1.87724378467457,27,3.24
28,-0.0342440384260957,28,3.24
29,-0.526321800114359,29,3.24
30,0.185407364997312,30,3.24
0,-254.133047652474,0,585.12
1,-256.776768314027,1,585.12
2,-258.091513359489,2,585.12
3,-256.922442685539,3,585.12
4,-259.565432669328,4,585.12
5,-259.420697291191,5,585.12
6,-257.454621703645,6,585.12
7,-259.7205930695,7,585.12
8,-259.055501748476,8,585.12
9,-260.474966247741,9,585.12
10,-257.671639817889,10,585.12
11,-260.182510435042,11,585.12
12,-257.495668750008,12,585.12
13,-257.480325427017,13,585.12
14,-256.684583550389,14,585.12
15,-256.534284854178,15,585.12
16,-257.232001084143,16,585.12
17,-257.509080113984,17,585.12
18,-258.842286697407,18,585.12
19,-257.382171648619,19,585.12
20,-257.766097708209,20,585.12
21,-257.843074766527,21,585.12
22,-260.489150251565,22,585.12
23,-258.580646206805,23,585.12
24,-260.355102509414,24,585.12
25,-256.732828208466,25,585.12
26,-256.580168115732,26,585.12
27,-256.674568756264,27,585.12
28,-256.09631054807,28,585.12
29,-261.039671381889,29,585.12
30,-256.376381339273,30,585.12
0,-279.370511020664,0,643.56
1,-282.315762058415,1,643.56
2,-283.748058584228,2,643.56
3,-282.441129293227,3,643.56
4,-285.217417173578,4,643.56
5,-285.120221133708,5,643.56
6,-283.054685875523,6,643.56
7,-285.460440502846,7,643.56
8,-284.756316662394,8,643.56
9,-286.248754355544,9,643.56
10,-283.419503284305,10,643.56
11,-285.967218406375,11,643.56
12,-283.183417312504,12,643.56
13,-282.994316398691,13,643.56
14,-282.200912636557,14,643.56
15,-282.025680616058,15,643.56
16,-282.839364917574,16,643.56
17,-283.167400550569,17,643.56
18,-284.532326030048,18,643.56
19,-282.947067549975,19,643.56
20,-283.40236437353,20,643.56
21,-283.530511052918,21,643.56
22,-286.270699624361,22,643.56
23,-284.355054258434,23,643.56
24,-286.114109607351,24,643.56
25,-282.241158806684,25,643.56
26,-282.076298642342,26,643.56
27,-282.086125959533,27,643.56
28,-281.589787157314,28,643.56
29,-286.983615711871,29,643.56
30,-281.941637396864,30,643.56
0,-11.2709033721984,0,27.36
1,-10.8306338755273,1,27.36
2,-11.5764325276849,2,27.36
3,-11.5852119239961,3,27.36
4,-13.1183071926369,4,27.36
5,-12.6980601970654,5,27.36
6,-11.597587713605,6,27.36
7,-12.7379374143762,7,27.36
8,-12.162915058424,8,27.36
9,-13.3076101049128,9,27.36
10,-10.3329017336101,10,27.36
11,-12.3889330340425,11,27.36
12,-10.2704586956924,12,27.36
13,-12.0963833044432,13,27.36
14,-11.0669203545665,14,27.36
15,-10.6476375811228,15,27.36
16,-11.0727968506428,16,27.36
17,-10.6358211453576,17,27.36
18,-11.9919500262194,18,27.36
19,-11.8896351357539,19,27.36
20,-11.2882033372051,20,27.36
21,-10.9090105590842,21,27.36
22,-13.1088067848483,22,27.36
23,-11.0658255289372,23,27.36
24,-13.2999699610239,24,27.36
25,-11.634488105447,25,27.36
26,-11.3280668683397,26,27.36
27,-12.5130785126092,27,27.36
28,-10.7399733747051,28,27.36
29,-11.4138881273716,29,27.36
30,-10.532327526309,30,27.36
0,-327.411088004984,0,755.04
1,-330.914099691217,1,755.04
2,-332.601552680436,2,755.04
3,-331.029340589498,3,755.04
4,-334.06252204792,4,755.04
5,-334.059942079082,5,755.04
6,-331.806361628163,6,755.04
7,-334.489276563564,7,755.04
8,-333.692229410293,8,755.04
9,-335.351829412698,9,755.04
10,-332.448890825756,10,755.04
11,-335.057428428129,11,755.04
12,-332.071459517544,12,755.04
13,-331.561735876096,13,755.04
14,-330.767530971112,14,755.04
15,-330.511589527812,15,755.04
16,-331.592105627162,16,755.04
17,-332.0015657318,17,755.04
18,-333.443185788309,18,755.04
