iter	RMSE
0	5130.667479
1	5051.109046
2	4966.384784
3	4884.024317
4	4805.285763
5	4722.734507
6	4645.48122
7	4573.977043
8	4520.039541
9	4466.851646
10	4388.107149
11	4322.724557
12	4243.082023
13	4184.884549
14	4119.67876
15	4033.072642
16	3976.879855
17	3920.060374
18	3860.856933
19	3801.805201
20	3746.826815
21	3686.741889
22	3626.277682
23	3573.068779
24	3515.465049
25	3452.958313
26	3410.435898
27	3363.383391
28	3314.158362
29	3263.920014
30	3207.160401
31	3154.780708
32	3094.46936
33	3044.916473
34	2993.581451
35	2947.92407
36	2897.440282
37	2855.396836
38	2804.159143
39	2762.083274
40	2707.244173
41	2666.557674
42	2617.555581
43	2576.749699
44	2537.123622
45	2501.58564
46	2452.122722
47	2408.40045
48	2374.791445
49	2329.019417
50	2290.896145
51	2252.220899
52	2215.211669
53	2168.903201
54	2137.808786
55	2106.825995
56	2064.953798
57	2029.94056
58	1991.885525
59	1954.839484
60	1923.87763
61	1888.445877
62	1859.388651
63	1824.985237
64	1788.588397
65	1758.74167
66	1736.889269
67	1704.901285
68	1667.811887
69	1637.795865
70	1601.537298
71	1568.501983
72	1547.525853
73	1523.503342
74	1497.450719
75	1475.823198
76	1450.693114
77	1421.349105
78	1395.579647
79	1370.249048
80	1356.284811
81	1343.029587
82	1323.622871
83	1310.529687
84	1284.611193
85	1265.713377
86	1245.054406
87	1231.906923
88	1209.240466
89	1184.646839
90	1160.783494
91	1140.461851
92	1126.055296
93	1099.265724
94	1076.996936
95	1061.626162
96	1047.41437
97	1027.194291
98	1009.039575
99	994.7957433
100	970.2711762
101	956.8497522
102	934.9073701
103	912.0945382
104	891.6316172
105	875.6618345
106	859.3981706
107	843.1642262
108	829.2722042
109	819.1327593
110	805.2925434
111	796.5824997
112	784.0953609
113	769.5483978
114	754.4800213
115	739.4699676
116	727.9179188
117	713.8727343
118	702.0959493
119	685.9987122
120	677.2867506
121	665.2632178
122	650.4294742
123	638.5369036
124	625.3319881
125	614.5617835
126	601.869867
127	587.9507782
128	574.6820574
129	561.3141357
130	551.3990256
131	542.0153866
132	532.3031347
133	522.2759996
134	513.5183401
135	502.5907401
136	493.2826323
137	483.6508067
138	476.4078703
139	469.4191829
140	459.601351
141	450.4662444
142	442.9710939
143	433.0225202
144	426.0094368
145	415.9027921
146	407.5643392
147	399.0363757
148	393.3447347
149	385.5414254
150	378.5726298
151	372.719618
152	366.0616453
153	359.6719283
154	354.0563079
155	346.0165435
156	341.0505156
157	333.4346841
158	329.1188907
159	321.9272416
160	315.3782584
161	311.1111739
162	306.1504154
163	298.8646542
164	292.609701
165	285.6583434
166	282.0864081
167	276.9826595
168	270.5613866
169	264.9556066
170	260.4764104
171	255.5174764
172	249.0142589
173	245.9512021
174	241.3889029
175	236.8220836
176	231.3953888
177	227.5231679
178	224.3565329
179	220.5386209
180	217.4042485
181	213.4067025
182	209.212205
183	206.1036917
184	202.3116795
185	199.3504437
186	195.9452104
187	192.9067785
188	189.9188435
189	186.4695799
190	182.6687743
191	179.2293795
192	175.6089727
193	172.2914359
194	168.2013202
195	164.8701126
196	161.6778706
197	158.358715
198	156.1512979
199	152.8722322
200	149.5130625
201	145.9790201
202	143.0687389
203	139.6011434
204	136.8289075
205	134.4377873
206	131.7068604
207	128.9217534
208	127.2281256
209	124.9983749
210	122.9585761
211	121.1001598
212	118.9423942
213	117.1433711
214	115.0602984
215	112.1180861
216	110.2603599
217	107.7234978
218	106.0145867
219	104.8386377
220	102.9302781
221	100.7922612
222	98.67311526
223	96.77858042
224	95.40359172
225	93.46053507
226	91.5420391
227	89.73124371
228	87.73829407
229	85.76121039
230	83.83961734
231	81.93171911
232	80.1492216
233	78.29812004
234	76.57743047
235	74.9184701
236	73.96881882
237	72.47529221
238	71.00770177
239	69.7677708
240	68.29381833
241	66.96351189
242	65.87403625
243	64.30435979
244	63.02116804
245	61.58368299
246	60.87958793
247	59.81979995
248	59.14423356
249	57.82660981
250	56.60745735
251	55.73576247
252	54.81618162
253	53.71032177
254	52.5962715
255	51.69944599
256	50.5500947
257	50.10195042
258	49.2230269
259	48.95861357
260	47.98093213
261	47.22000082
262	46.411044
263	45.52817752
264	45.30706764
265	44.6793415
266	43.77154315
267	43.04449854
268	42.18272117
269	41.66275654
270	41.027748
271	40.17124832
272	39.52937229
273	39.22868504
274	38.5408115
275	38.17316901
276	37.36581645
277	36.60949734
278	35.81280878
279	35.21121608
280	34.69641512
281	34.06879008
282	33.67138247
283	33.14146816
284	32.41955735
285	31.77372267
286	31.1196112
287	30.48892717
288	29.92105913
289	29.41737668
290	28.87036749
291	28.13619491
292	27.60425218
293	27.02733714
294	26.40693171
295	25.93091596
296	25.48643769
297	25.00729797
298	24.5892802
299	24.16489915
