iter	Passed	Remaining
0	149	44604
1	163	24370
2	171	16983
3	178	13173
4	184	10893
5	190	9350
6	196	8220
7	201	7337
8	205	6657
9	210	6105
10	215	5650
11	219	5268
12	224	4945
13	228	4676
14	233	4437
15	238	4229
16	243	4046
17	247	3881
18	252	3733
19	257	3601
20	261	3479
21	266	3367
22	271	3268
23	276	3176
24	280	3088
25	285	3009
26	290	2939
27	295	2870
28	300	2806
29	304	2743
30	309	2684
31	313	2628
32	318	2576
33	323	2527
34	327	2482
35	332	2439
36	337	2400
37	342	2362
38	347	2325
39	352	2288
40	356	2254
41	361	2220
42	366	2189
43	371	2159
44	375	2130
45	380	2101
46	385	2074
47	390	2050
48	395	2024
49	400	2000
50	404	1976
51	409	1952
52	414	1930
53	418	1907
54	423	1886
55	428	1864
56	432	1844
57	437	1824
58	442	1807
59	447	1790
60	452	1772
61	457	1754
62	462	1738
63	466	1720
64	471	1705
65	476	1690
66	481	1674
67	486	1659
68	491	1644
69	495	1629
70	500	1615
71	505	1600
72	510	1586
73	514	1571
74	519	1557
75	523	1543
76	528	1529
77	533	1517
78	537	1504
79	542	1491
80	547	1479
81	551	1467
82	557	1456
83	561	1444
84	566	1433
85	571	1421
86	575	1409
87	579	1397
88	584	1386
89	589	1375
90	593	1363
91	598	1352
92	602	1341
93	607	1331
94	612	1321
95	616	1310
96	621	1300
97	625	1290
98	630	1280
99	635	1270
100	639	1260
101	643	1250
102	648	1240
103	653	1231
104	657	1221
105	662	1212
106	666	1202
107	671	1193
108	675	1184
109	680	1175
110	685	1166
111	689	1157
112	694	1149
113	699	1140
114	703	1132
115	708	1123
116	713	1115
117	718	1107
118	722	1099
119	727	1091
120	732	1083
121	737	1075
122	741	1067
123	746	1059
124	751	1051
125	755	1043
126	760	1035
127	765	1027
128	769	1020
129	774	1012
130	779	1005
131	783	997
132	788	989
133	792	981
134	797	974
135	802	967
136	806	959
137	811	952
138	815	944
139	820	937
140	824	929
141	829	922
142	833	915
143	838	908
144	842	900
145	847	893
146	851	886
147	856	879
148	861	872
149	865	865
150	870	858
151	874	851
152	879	844
153	883	837
154	888	830
155	892	824
156	897	817
157	902	810
158	907	804
159	911	797
160	916	791
161	921	784
162	925	778
163	930	771
164	934	764
165	939	758
166	944	751
167	949	745
168	953	739
169	958	732
170	963	726
171	968	720
172	972	714
173	977	708
174	982	702
175	987	696
176	992	689
177	997	683
178	1002	677
179	1007	671
180	1012	665
181	1017	659
182	1022	654
183	1028	648
184	1033	642
185	1038	636
186	1044	630
187	1049	625
188	1054	619
189	1059	613
190	1063	607
191	1069	601
192	1074	595
193	1079	589
194	1084	584
195	1090	578
196	1095	572
197	1100	566
198	1105	560
199	1110	555
200	1115	549
201	1120	543
202	1124	537
203	1130	531
204	1134	525
205	1140	520
206	1145	514
207	1151	509
208	1157	503
209	1162	498
210	1167	492
211	1172	486
212	1179	481
213	1185	476
214	1193	471
215	1200	467
216	1206	461
217	1212	456
218	1218	450
219	1223	444
220	1228	439
221	1236	434
222	1242	429
223	1249	423
224	1255	418
225	1261	413
226	1267	407
227	1274	402
228	1281	397
229	1289	392
230	1298	387
231	1310	384
232	1320	379
233	1330	375
234	1339	370
235	1349	365
236	1364	362
237	1376	358
238	1396	356
239	1411	352
240	1425	348
241	1438	344
242	1449	339
243	1459	334
244	1468	329
245	1478	324
246	1487	319
247	1494	313
248	1501	307
249	1509	301
250	1517	296
251	1525	290
252	1532	284
253	1540	278
254	1547	273
255	1554	267
256	1561	261
257	1567	255
258	1573	249
259	1576	242
260	1581	236
261	1587	230
262	1593	224
263	1598	218
264	1602	211
265	1607	205
266	1612	199
267	1617	193
268	1622	187
269	1627	180
270	1632	174
271	1637	168
272	1642	162
273	1647	156
274	1651	150
275	1656	144
276	1661	137
277	1666	131
278	1671	125
279	1676	119
280	1681	113
281	1686	107
282	1691	101
283	1696	95
284	1701	89
285	1706	83
286	1710	77
287	1715	71
288	1719	65
289	1724	59
290	1728	53
291	1733	47
292	1738	41
293	1742	35
294	1747	29
295	1751	23
296	1755	17
297	1760	11
298	1764	5
299	1769	0
